no;dapil;partai;nama;jk;lokasi
1112;bandung-barat;PARTAI BERKARYA;IWAN RIDWAN, SH;Laki-Laki;KOTA TANGERANG SELATAN
1114;bandung-barat;PARTAI BERKARYA;FITRIAH LINDAWATI;Perempuan;KOTA BEKASI
1131;bandung-barat;PDIP;ADITYA INDRADJAJA, Dipl. Ing;Laki-Laki;JAKARTA UTARA
1135;bandung-barat;DEMOKRAT;DEDE YUSUF MACAN EFFENDI, ST.M.I.Pol;Laki-Laki;JAKARTA SELATAN
1136;bandung-barat;DEMOKRAT;ASTARI ASLAM;Perempuan;KOTA BEKASI
1137;bandung-barat;DEMOKRAT;DAKA PURUMAS;Laki-Laki;KOTA BANDUNG
1138;bandung-barat;DEMOKRAT;LUTFIDA ADLIANA, SE;Perempuan;BANDUNG
1139;bandung-barat;DEMOKRAT;ANTONI GIRSANG, SE.;Laki-Laki;KOTA BEKASI
1140;bandung-barat;DEMOKRAT;Dra. ERNA WISMAYA;Perempuan;JAKARTA SELATAN
1141;bandung-barat;DEMOKRAT;ENTIN SUPRIATIN;Perempuan;BANDUNG
1142;bandung-barat;DEMOKRAT;Ir. M. ADAMSYAH WH, M,Si;Laki-Laki;KOTA TANGERANG SELATAN
1143;bandung-barat;DEMOKRAT;AHMAD BALYA;Laki-Laki;JAKARTA SELATAN
1144;bandung-barat;GERINDRA;RACHEL MARYAM SAYIDINA;Perempuan;JAKARTA SELATAN
1146;bandung-barat;GERINDRA;DEDY ABDULLAH;Laki-Laki;KOTA BANDUNG
1147;bandung-barat;GERINDRA;ASEP SUTISNA;Laki-Laki;BANDUNG
1149;bandung-barat;GERINDRA;GUNTUR TRIYONO;Laki-Laki;KOTA TANGERANG SELATAN
1151;bandung-barat;GERINDRA;ANNYSA SOVIA NURANI;Perempuan;KOTA BATU
1153;bandung-barat;GERINDRA;Ir. IWA GARTIWA, MM;Laki-Laki;KOTA BANDUNG
1154;bandung-barat;PARTAI GERAKAN PERUBAHAN INDONESIA;FACHMI KURNIADIN;Laki-Laki;JAKARTA SELATAN
1155;bandung-barat;PARTAI GERAKAN PERUBAHAN INDONESIA;DIANA FINGKAN;Perempuan;JAKARTA TIMUR
1156;bandung-barat;GOLKAR;Dr. TB. H. ACE HASAN SYADZILY, M.Si.;Laki-Laki;KOTA TANGERANG SELATAN
1157;bandung-barat;GOLKAR;Dr. M. SABIL RACHMAN, M.Si;Laki-Laki;KOTA BEKASI
1158;bandung-barat;GOLKAR;SANDRA INDRIATI NOHOLO;Perempuan;KOTA BANDUNG
1159;bandung-barat;GOLKAR;Ir. H. ANANG SUSANTO, M.Si;Laki-Laki;BANDUNG
1160;bandung-barat;GOLKAR;Dr. IKKE DEWI SARTIKA, Dra., M.Pd;Perempuan;KOTA BANDUNG
1161;bandung-barat;GOLKAR;H. AGUS MAKMUR SANTOSO, S.Kom., M.M;Laki-Laki;JAKARTA PUSAT
1163;bandung-barat;GOLKAR;NUNKI JUNIARTI;Perempuan;JAKARTA SELATAN
1164;bandung-barat;GOLKAR;Ir. H. DODDY IMRON CHOLID, M.S;Laki-Laki;BANDUNG BARAT
1165;bandung-barat;HANURA;HUMAR DANI, SE,. SH,. MM,. MH.;Laki-Laki;BANDUNG
1166;bandung-barat;HANURA;DR. ERISLAN, ST., MM;Laki-Laki;BANDUNG
1167;bandung-barat;HANURA;MARLINA;Perempuan;JAKARTA UTARA
1168;bandung-barat;HANURA;AGUS MUSLIM;Laki-Laki;JAKARTA SELATAN
1169;bandung-barat;HANURA;DELINAR, S.I.Kom;Perempuan;JAKARTA TIMUR
1170;bandung-barat;HANURA;MARDIYANAH;Perempuan;JAKARTA TIMUR
1171;bandung-barat;HANURA;AHMAD HAMZAH;Laki-Laki;GARUT
1172;bandung-barat;PARTAI KEADILAN DAN PERSATUAN INDONESIA;RULLY SOEKARTA;Laki-Laki;KOTA CIMAHI
1173;bandung-barat;PARTAI KEADILAN DAN PERSATUAN INDONESIA;KIKI ROSA RATAMA;Laki-Laki;KOTA BANDUNG
1174;bandung-barat;PARTAI KEADILAN DAN PERSATUAN INDONESIA;PUTTY ENDRIYANI;Perempuan;PANGANDARAN
1175;bandung-barat;PKS;dr. H. ADANG SUDRAJAT, MM;Laki-Laki;KOTA BANDUNG
1176;bandung-barat;PKS;Dipl. Ing. HJ. DIAH NURWITASARI, M.I.Pol.;Perempuan;BANDUNG
1177;bandung-barat;PKS;Drs. H. DIDIK AGUS T, M.Pd;Laki-Laki;BANDUNG BARAT
1182;bandung-barat;PKS;YANYAN HAERANI;Perempuan;BANDUNG
1183;bandung-barat;PKS;H. DADANG SUMPENA;Laki-Laki;KOTA BANDUNG
1184;bandung-barat;PKS;H. ASEP JAJULI, S.Pd.I;Laki-Laki;KOTA BANDUNG
1185;bandung-barat;PKS;HJ. ROSYE DEWI RUSANTI, S.Pd;Perempuan;BANDUNG BARAT
1188;bandung-barat;PKB;HJ. ENUNG DARIAH R, M.PD.I;Perempuan;BANDUNG
1189;bandung-barat;PKB;DRS. ADE RATMADJA;Laki-Laki;BANDUNG BARAT
1190;bandung-barat;PKB;ENJANG HUDORI;Laki-Laki;BANDUNG
1191;bandung-barat;PKB;H. ROSADI, S.Ag;Laki-Laki;BANDUNG
1192;bandung-barat;PKB;NUNUNG NURJANAH, S.PD;Perempuan;PURWAKARTA
1193;bandung-barat;PKB;MUSTOFA HILMY;Laki-Laki;BANDUNG BARAT
1194;bandung-barat;PKB;DRS. H. DEDEN HAMDAN M;Laki-Laki;BANDUNG
1195;bandung-barat;PKB;ITA JULAEHA;Perempuan;BANDUNG BARAT
1196;bandung-barat;PKB;MUHAMAD RIFAL;Laki-Laki;BANDUNG BARAT
1197;bandung-barat;PARTAI NASDEM;ADE SUDRADJAT USMAN;Laki-Laki;KOTA BANDUNG
1198;bandung-barat;PARTAI NASDEM;HJ. ENUNG NURYANTI, SPD, M.M.PD;Perempuan;BANDUNG
1200;bandung-barat;PARTAI NASDEM;H. DADANG RUSDIANA, S.E., M.Si;Laki-Laki;JAKARTA SELATAN
1201;bandung-barat;PARTAI NASDEM;DR. ATANG IRAWAN;Laki-Laki;KOTA CIMAHI
1202;bandung-barat;PARTAI NASDEM;TINA TALISA;Perempuan;KOTA TANGERANG SELATAN
1203;bandung-barat;PARTAI NASDEM;DR. BAMBANG USADI, MM;Laki-Laki;KOTA TANGERANG SELATAN
1204;bandung-barat;PARTAI NASDEM;DR.HJ. EUIS KARWATI, MPD;Perempuan;KOTA BANDUNG
1205;bandung-barat;PARTAI NASDEM;H. ADE RODIANA;Laki-Laki;BANDUNG
1206;bandung-barat;PARTAI NASDEM;PRIYANTO RAHARJO;Laki-Laki;KOTA BANDUNG
1207;bandung-barat;PPP;H. ALI MUBARAK, A.MD PAR., S.E.;Laki-Laki;JAKARTA SELATAN
1208;bandung-barat;PPP;H. ASEP BADRUZZAMAN, A.KS.;Laki-Laki;KOTA BANDUNG
1209;bandung-barat;PPP;AHMAD KHOLISUN, S.Pd.I;Laki-Laki;KOTA DEPOK
1212;bandung-barat;PPP;AFRILIZA;Perempuan;JAKARTA BARAT
1213;bandung-barat;PPP;ACH. SAIFUL ULUM;Laki-Laki;KOTA DEPOK
1214;bandung-barat;PSI;FREDI DARMAWAN, SE;Laki-Laki;KOTA TANGERANG SELATAN
1215;bandung-barat;PSI;MILLY RATUDIAN PURBASARI, ST;Perempuan;KOTA BANDUNG
1216;bandung-barat;PSI;DONNY ROMMY, SS;Laki-Laki;BANDUNG BARAT
1217;bandung-barat;PSI;MICHAEL ADIWINATA BUDIARTO;Laki-Laki;KOTA BANDUNG
1218;bandung-barat;PSI;JENI WIDIANINGRUM, A.Md;Perempuan;KOTA DEPOK
1219;bandung-barat;PSI;RIKARDO SIMBOLON, S.Pd;Laki-Laki;SAMOSIR
1220;bandung-barat;PSI;DENNY PURNAMA ADI CHANDRA, S.E;Laki-Laki;KOTA TANGERANG SELATAN
1222;bandung-barat;PSI;FITRO DHARMA HERMAWAN, S.DS;Laki-Laki;JAKARTA PUSAT
1224;bandung-barat;PERINDO;H. ABD. KHALIQ AHMAD;Laki-Laki;KOTA BEKASI
1225;bandung-barat;PERINDO;RESITA KANIYA, BSBA,MBA;Perempuan;JAKARTA SELATAN
1226;bandung-barat;PERINDO;Drs. ADE HUSEN KARTADIPURA, SH;Laki-Laki;KOTA BANDUNG
1227;bandung-barat;PERINDO;Dr. ADJAT DARADJAT, M.Si;Laki-Laki;JAKARTA TIMUR
1229;bandung-barat;PERINDO;DONI BALNADI KOERDI, S.Sos.,M.Si;Laki-Laki;KOTA BANDUNG
1230;bandung-barat;PERINDO;HJ. RINA YULIA MARTINA;Perempuan;BANDUNG
1231;bandung-barat;PERINDO;Drs. BERTHY BARNABAS RAHAWARIN, S.H;Laki-Laki;JAKARTA BARAT
1232;bekasi;PAN;Ir. ATANG, MP;Laki-Laki;BEKASI
1234;bekasi;PAN;RD. SYARIFAH;Perempuan;BEKASI
1235;bekasi;PAN;MARYONO;Laki-Laki;BEKASI
1236;bekasi;PAN;ERY MAHDI, SE;Laki-Laki;BEKASI
1237;bekasi;PAN;AKMALIA YUSUF, S.Pd.I;Perempuan;BEKASI
1238;bekasi;PARTAI BERKARYA;JAYADI;Laki-Laki;BEKASI
1239;bekasi;PARTAI BERKARYA;ABDILLAH, S.H;Laki-Laki;BEKASI
1241;bekasi;PARTAI BERKARYA;DIDIT HERDINI;Perempuan;KOTA BEKASI
1242;bekasi;PARTAI BERKARYA;NOVITA IRIANI;Perempuan;BEKASI
1243;bekasi;PARTAI BERKARYA;HAN HAN SUBHANUDIN;Laki-Laki;KOTA BEKASI
1244;bekasi;PARTAI BERKARYA;IR. DIDIET ARRY SUPARNO;Laki-Laki;BANDUNG BARAT
1248;bekasi;PBB;YANI SURYANI FIKRIAH;Perempuan;BANDUNG
1250;bekasi;PBB;M. KOSASIH;Laki-Laki;BEKASI
1253;bekasi;PDIP;DYAH WAHYU WINARTI;Perempuan;JAKARTA SELATAN
1256;bekasi;PDIP;DEASI SUMARTINI;Perempuan;SUMEDANG
1257;bekasi;PDIP;AI YUNINGSIH;Perempuan;KOTA BEKASI
1258;bekasi;DEMOKRAT;H. M. ACHDAR SUDRADJAT, S.SOS;Laki-Laki;KOTA BEKASI
1259;bekasi;DEMOKRAT;WIWIN WININGSIH, SE;Perempuan;BEKASI
1260;bekasi;DEMOKRAT;MUH ROJAK, ,S.Pd.I;Laki-Laki;BEKASI
1261;bekasi;DEMOKRAT;H. ABAI SUBARNA;Laki-Laki;BEKASI
1262;bekasi;DEMOKRAT;UMMI ELMA ISNIAR;Perempuan;KOTA BEKASI
1263;bekasi;DEMOKRAT;H. HASAN BASRI;Laki-Laki;BEKASI
1264;bekasi;DEMOKRAT;MAESA BELVIRONA, S.Sos.;Perempuan;KOTA BANDUNG
1265;bekasi;GERINDRA;H. SYAHRIR;Laki-Laki;KOTA BEKASI
1266;bekasi;GERINDRA;IRPAN HAERONI;Laki-Laki;BEKASI
1267;bekasi;GERINDRA;NENENG ROPIAH;Perempuan;BEKASI
1268;bekasi;GERINDRA;HENDI SUHENDI, SH.;Laki-Laki;KOTA BEKASI
1269;bekasi;GERINDRA;TATI WIDYAWATI;Perempuan;BEKASI
1270;bekasi;GERINDRA;BAMBANG SUMARYONO;Laki-Laki;BEKASI
1271;bekasi;GERINDRA;INDRI ANGGRESTYA NURMALA;Perempuan;KOTA BEKASI
1272;bekasi;GOLKAR;H. ALMAIDA ROSA PUTRA, SE, MM;Laki-Laki;BEKASI
1273;bekasi;GOLKAR;K.H. IIP SARIP BUSTOMI, SE, M.Si;Laki-Laki;BEKASI
1274;bekasi;GOLKAR;MAYA KURNIASARI;Perempuan;BEKASI
1275;bekasi;GOLKAR;AGUS WIBOWO;Laki-Laki;JAKARTA SELATAN
1276;bekasi;GOLKAR;ADE SUKRON, SHI., M. Si;Laki-Laki;BEKASI
1277;bekasi;GOLKAR;SITI FATONAH;Perempuan;BEKASI
1278;bekasi;GOLKAR;HJ. ANAH HARYATI;Perempuan;BEKASI
1279;bekasi;HANURA;M. SUROSO EKO S;Laki-Laki;BEKASI
1280;bekasi;HANURA;H. AHMAD SYAIKHU;Laki-Laki;BEKASI
1281;bekasi;HANURA;SRI SUGIARTI, S.IP.;Perempuan;BEKASI
1282;bekasi;HANURA;IBUT BUSTOMI;Laki-Laki;BEKASI
1283;bekasi;HANURA;KADEK PANDE IDA RATNA NINGRUM;Perempuan;BEKASI
1284;bekasi;HANURA;HJ. JULAECHA;Perempuan;BEKASI
1285;bekasi;HANURA;H. MARJAYA IBRAHIM;Laki-Laki;BEKASI
1286;bekasi;PARTAI KEADILAN DAN PERSATUAN INDONESIA;DODI SUGIANTO, SH.,M.H.;Laki-Laki;KOTA DEPOK
1287;bekasi;PARTAI KEADILAN DAN PERSATUAN INDONESIA;IKEU NOVIA NURAJIZAH;Perempuan;SUBANG
1288;bekasi;PKS;DR.. ABDUL JABAR MAJID, M.A;Laki-Laki;BEKASI
1289;bekasi;PKS;H. FAIZAL HAFAN FARID, SE, M.Si;Laki-Laki;BEKASI
1290;bekasi;PKS;HJ. DEWI FITRI LESTARI, SS;Perempuan;BEKASI
1291;bekasi;PKS;CHAERUNNISSA, SP., M.Ak;Perempuan;KOTA BEKASI
1292;bekasi;PKS;H. ZAINUDHIN, SE, M.Si;Laki-Laki;BEKASI
1293;bekasi;PKS;dr. ADROHASLIN;Perempuan;BEKASI
1298;bekasi;PKB;HJ.YATI NURHAYATI;Perempuan;BEKASI
1300;bekasi;PARTAI NASDEM;TETEN KAMALUDIN, SH;Laki-Laki;BEKASI
1301;bekasi;PARTAI NASDEM;DEDE ISWADI, M.Ag;Laki-Laki;BEKASI
1302;bekasi;PARTAI NASDEM;ROSPIAH,AMD.KEB,SKM, Amd.Keb,SKM;Perempuan;BEKASI
1303;bekasi;PARTAI NASDEM;ROMMEL SIMAMORA;Laki-Laki;KOTA BANDUNG
1304;bekasi;PARTAI NASDEM;LINDA RAMADHANTY, SE;Perempuan;JAKARTA TIMUR
1305;bekasi;PARTAI NASDEM;ZULI ZULKIPLI, SH;Laki-Laki;BEKASI
1306;bekasi;PARTAI NASDEM;NINING;Perempuan;BEKASI
1307;bekasi;PPP;H.OMIN BASYUNI, SH;Laki-Laki;BEKASI
1308;bekasi;PPP;ASEP JAMALUDIN;Laki-Laki;BEKASI
1309;bekasi;PPP;FATIMAH AZZAHRA;Perempuan;BEKASI
1310;bekasi;PPP;DRS. H.. MAIDAN FAHMI, MM., MBA.;Laki-Laki;BEKASI
1311;bekasi;PPP;KIKI TSAKILAH;Perempuan;BEKASI
1312;bekasi;PPP;SYARIPUDIN;Laki-Laki;BEKASI
1313;bekasi;PPP;NURHAYATI WIJAYA WKS;Perempuan;BEKASI
1314;bekasi;PSI;HIDAYATULLAH SUPRIATNA, S.H;Laki-Laki;BEKASI
1315;bekasi;PSI;ERNAWATY TAMPUBOLON, ST;Perempuan;BEKASI
1316;bekasi;PSI;DJOHAN TANSURI, S.E;Laki-Laki;JAKARTA BARAT
1317;bekasi;PSI;ANITA OCTIO SILABAN, A.Md;Perempuan;BEKASI
1318;bekasi;PSI;SONDY MARTIS;Laki-Laki;KOTA BEKASI
1320;bekasi;PERINDO;NAPIT NADIH NURCAHYADIH;Laki-Laki;BEKASI
1321;bekasi;PERINDO;SAMIN SAPUTRA, SE.,M.M;Laki-Laki;BEKASI
1322;bekasi;PERINDO;UMAR BAHTIAR;Laki-Laki;BEKASI
1323;bekasi;PERINDO;SUSI AGUSTINA, S.Pd.I., M.Pd;Perempuan;KOTA BEKASI
1324;bekasi;PERINDO;DEWI MURTHASIAH, S.Hum;Perempuan;BEKASI
1327;bekasi;PAN;DAENG MUHAMMAD, SE.,MSi;Laki-Laki;BEKASI
1329;bekasi;PAN;dr. ASEP HIDAYAT LUKMAN, MM;Laki-Laki;KARAWANG
1330;bekasi;PAN;Ir. CHAIRUL RAZAK, M.E;Laki-Laki;JAKARTA TIMUR
1332;bekasi;PAN;RINA SEPTIANA;Perempuan;KARAWANG
1333;bekasi;PAN;MUHAMMAD SELAMAT JUPRI, SH;Laki-Laki;BANTUL
1335;bekasi;PAN;HJ. TANTI LISTIANTI, SE., MM;Perempuan;JAKARTA SELATAN
1336;bekasi;PAN;MUHAMMAD TESAR SANDIKAPURA, ST., MT;Laki-Laki;KOTA DEPOK
1337;bekasi;PARTAI BERKARYA;INDIRAYANI KOSTININGTYAS, SE;Perempuan;KOTA DEPOK
1338;bekasi;PARTAI BERKARYA;Dr. Ir. H. NASEP RACHMAT, MM., M.Si.;Laki-Laki;KOTA BANDUNG
1341;bekasi;PARTAI BERKARYA;ASEP AGUSTIAN, SH, MH;Laki-Laki;KARAWANG
1344;bekasi;PARTAI BERKARYA;H. ABU BAKAR;Laki-Laki;BOGOR
1345;bekasi;PARTAI BERKARYA;HARTONO SINGGIH, S.IP, MM;Laki-Laki;KOTA BEKASI
1346;bekasi;PARTAI BERKARYA;BADRUL MUNIR, SE;Laki-Laki;KARAWANG
1366;bekasi;DEMOKRAT;HJ. VERA FEBYANTHY, M.Si;Perempuan;JAKARTA SELATAN
1367;bekasi;DEMOKRAT;NURCAHYO ANGGORO JATI;Laki-Laki;JAKARTA TIMUR
1368;bekasi;DEMOKRAT;Ir. H. HARI KARTANA, MM., Ph.D., D.Sc.;Laki-Laki;JAKARTA TIMUR
1369;bekasi;DEMOKRAT;DR. H. R.A. MUNAWAR FUAD, M.Ag.;Laki-Laki;KOTA DEPOK
1370;bekasi;DEMOKRAT;BAYU IRAWAN, S.Sos;Laki-Laki;KARAWANG
1371;bekasi;DEMOKRAT;HJ. UMI HARYANI;Perempuan;JAKARTA UTARA
1372;bekasi;DEMOKRAT;ROMI OKTAVIANSYAH, SE;Laki-Laki;BEKASI
1373;bekasi;DEMOKRAT;Ir. JOEROY, SH., MM., MH.;Laki-Laki;JAKARTA UTARA
1374;bekasi;DEMOKRAT;ENJI SWASTIKA PUTRI;Perempuan;JAKARTA SELATAN
1375;bekasi;DEMOKRAT;KRISNA BAYU;Laki-Laki;KOTA TANGERANG
1376;bekasi;GERINDRA;drg. PUTIH SARI;Perempuan;JAKARTA TIMUR
1379;bekasi;GERINDRA;H. RUSTANDIE, SH;Laki-Laki;PURWAKARTA
1380;bekasi;GERINDRA;Ir. ARIA SULHAN WITOELAR;Laki-Laki;JAKARTA SELATAN
1381;bekasi;GERINDRA;DERRY DRAJAT;Laki-Laki;KOTA BEKASI
1382;bekasi;GERINDRA;ANY MARIANY TENGKER;Perempuan;JAKARTA TIMUR
1383;bekasi;GERINDRA;H. DARIS, SH;Laki-Laki;BEKASI
1384;bekasi;GERINDRA;NACE PERMANA, SE.,M.IKom;Laki-Laki;KARAWANG
1385;bekasi;GERINDRA;HJ. SUSILAWATI, SE;Perempuan;KOTA DEPOK
1386;bekasi;GERINDRA;DR. SUDJUD SIRADJUDDIN, SH., MH;Laki-Laki;JAKARTA TIMUR
1387;bekasi;PARTAI GERAKAN PERUBAHAN INDONESIA;MUHAMMAD FAIZ ROZI;Laki-Laki;BEKASI
1388;bekasi;PARTAI GERAKAN PERUBAHAN INDONESIA;MEGA KHARISMA KUSUMAWARNI;Perempuan;KOTA BEKASI
1389;bekasi;PARTAI GERAKAN PERUBAHAN INDONESIA;MUHAMMAD FADLILLAH, S.KOM;Laki-Laki;BEKASI
1390;bekasi;PARTAI GERAKAN PERUBAHAN INDONESIA;ANITA ANDRIANIE;Perempuan;JAKARTA TIMUR
1391;bekasi;GOLKAR;DEDI MULYADI, S.H;Laki-Laki;PURWAKARTA
1392;bekasi;GOLKAR;PUTERI KOMARUDIN;Perempuan;JAKARTA SELATAN
1393;bekasi;GOLKAR;Drs. DADANG S MUCHTAR;Laki-Laki;KARAWANG
1395;bekasi;GOLKAR;Drs. JENRI M.P PANJAITAN, M.H;Laki-Laki;KOTA BEKASI
1396;bekasi;GOLKAR;NURUL ATIQ TAJUDDIN;Laki-Laki;BEKASI
1397;bekasi;GOLKAR;MOH. SUAIB;Laki-Laki;KOTA MAKASSAR
1399;bekasi;GOLKAR;Drs. R. HADYMARTOMO;Laki-Laki;KOTA DEPOK
1400;bekasi;HANURA;TUMIUR SURIATY S;Perempuan;JAKARTA SELATAN
1401;bekasi;HANURA;HIPATOPIS WIRAWAN LABUT;Laki-Laki;MANGGARAI
1402;bekasi;HANURA;HAMDANI TANJUNG, S.Pd;Laki-Laki;JAKARTA TIMUR
1403;bekasi;HANURA;TIEN ASPASIA, S.Pd., M.Pd;Perempuan;JAKARTA TIMUR
1404;bekasi;HANURA;SURANI, AM.Keb;Perempuan;KOTA DEPOK
1405;bekasi;HANURA;SUTIYO BUDIYARTHO, SE.SIP;Laki-Laki;JAKARTA TIMUR
1406;bekasi;HANURA;dr. ANJAR SETYA WIDARTI, MARS;Perempuan;KOTA DEPOK
1407;bekasi;HANURA;SUPONO, S.AP;Laki-Laki;KOTA BEKASI
1408;bekasi;HANURA;DAHLAN RIZAWARMAN, SE;Laki-Laki;JAKARTA TIMUR
1409;bekasi;PARTAI KEADILAN DAN PERSATUAN INDONESIA;ANGGA BUSRA LESMANA, S.H.;Laki-Laki;KOTA BEKASI
1410;bekasi;PARTAI KEADILAN DAN PERSATUAN INDONESIA;FAIRRA TRI AGUSTINT;Perempuan;JAKARTA TIMUR
1412;bekasi;PKS;DR. H. SADUDDIN, MM.;Laki-Laki;BEKASI
1413;bekasi;PKS;RATNA MULYA MADURANI, S. H;Perempuan;BEKASI
1414;bekasi;PKS;Drs. THOHA MAHSUN;Laki-Laki;PURWAKARTA
1415;bekasi;PKS;ASEP IRAWAN;Laki-Laki;KARAWANG
1416;bekasi;PKS;HJ. DWI SEPTIAWATI, S.Pd.;Perempuan;KOTA BEKASI
1419;bekasi;PKS;PIPIN SOPIAN, S.Sos., IMRI;Laki-Laki;BOGOR
1420;bekasi;PKS;TIA TRESNAWATI;Perempuan;KARAWANG
1421;bekasi;PKB;H. SYAIFUL HUDA;Laki-Laki;KOTA BANDUNG
1422;bekasi;PKB;ABDUL ROCHMAN;Laki-Laki;KOTA DEPOK
1423;bekasi;PKB;Hj. EVI FATIMAH, S.AG.,M.AP;Perempuan;BOGOR
1424;bekasi;PKB;JON RAMADHAN, M.Si.;Laki-Laki;BEKASI
1425;bekasi;PKB;H. NOOR JUMAN, S.AG;Laki-Laki;KARAWANG
1426;bekasi;PKB;HJ. VERA SUSANTI, S.AG., M.PD;Perempuan;BEKASI
1427;bekasi;PKB;H. M. ATHOILLAH MURSJID, M.Si.;Laki-Laki;BEKASI
1428;bekasi;PKB;RIKA OKTARIANI, S.IKOM;Perempuan;KOTA BOGOR
1429;bekasi;PKB;SALMAN ASSAGAF, S.SOS;Laki-Laki;JAKARTA PUSAT
1430;bekasi;PKB;AHMAD FAISAL, S.HI;Laki-Laki;BEKASI
1431;bekasi;PARTAI NASDEM;SAAN MUSTOPA, M.Si;Laki-Laki;KARAWANG
1432;bekasi;PARTAI NASDEM;DEWI NURANI, S.Psi;Perempuan;KOTA BEKASI
1433;bekasi;PARTAI NASDEM;H. ROHIM MINTAREJA, S.Sos.,M.Si;Laki-Laki;BEKASI
1434;bekasi;PARTAI NASDEM;SURYA KUSUMANEGARA, SE . MM;Laki-Laki;JAKARTA SELATAN
1435;bekasi;PARTAI NASDEM;DELLA PUSPITA;Perempuan;KOTA BEKASI
1436;bekasi;PARTAI NASDEM;DRG. FERRY THOMAS TATO LATANNA;Laki-Laki;JAKARTA TIMUR
1437;bekasi;PARTAI NASDEM;DR. NIRU ANITA SINAGA, SH,MH;Perempuan;KOTA BEKASI
1438;bekasi;PARTAI NASDEM;RADEN JOKO RANGGONO;Laki-Laki;BEKASI
1439;bekasi;PARTAI NASDEM;Drs. LINGGOM F L. TORUAN;Laki-Laki;JAKARTA TIMUR
1440;bekasi;PARTAI NASDEM;BARTO TANGDIBALI;Laki-Laki;KOTA BEKASI
1441;bekasi;PPP;Dra. WARDATUL ASRIAH;Perempuan;JAKARTA SELATAN
1442;bekasi;PPP;HJ. SITI NURMILA;Perempuan;JAKARTA TIMUR
1443;bekasi;PPP;SLAMET GUNAWAN;Laki-Laki;KOTA DEPOK
1445;bekasi;PPP;DINUL HUSNAN, S.Pd.I;Laki-Laki;KOTA PADANG
1447;bekasi;PPP;MUKHAMAD CHOIRUDIN, S.HUM.;Laki-Laki;JAKARTA TIMUR
1448;bekasi;PPP;R.M YUSUF SUGIARTO;Laki-Laki;KOTA JAMBI
1450;bekasi;PPP;H. SHALIH MANGARA, SH. MH;Laki-Laki;KOTA BEKASI
1451;bekasi;PSI;HABIB. MUANNAS, SH;Laki-Laki;JAKARTA BARAT
1452;bekasi;PSI;FILIVHIENA ANDALUSIA FAISOL, SE;Perempuan;JAKARTA SELATAN
1453;bekasi;PSI;ZEA ASMARA BAKRI;Perempuan;KOTA TANGERANG
1454;bekasi;PSI;GATOT IMAM NUGROHO, MBA;Laki-Laki;KOTA BEKASI
1455;bekasi;PSI;ALBERT MARTINUS;Laki-Laki;BOGOR
1456;bekasi;PSI;ROSDIYANA MARTENA GUBA;Perempuan;BANDUNG
1457;bekasi;PSI;NELLY MARIA SAMOSIR, M.Pd;Perempuan;KARAWANG
1458;bekasi;PSI;MAHAYONI;Laki-Laki;BEKASI
1459;bekasi;PSI;HERMAN;Laki-Laki;KOTA BEKASI
1460;bekasi;PSI;ONDO EBENEZER H P, S.Kom;Laki-Laki;JAKARTA TIMUR
1461;bekasi;PERINDO;CAROL DANIEL KADANG, SE, MM.;Laki-Laki;JAKARTA TIMUR
1464;bekasi;PERINDO;H. EK BUDI SANTOSO, SE.,MM;Laki-Laki;KOTA DEPOK
1470;bekasi;PERINDO;Ns. AULIYA RISHA, S.Kep;Perempuan;KOTA DEPOK
1471;bekasi;PERINDO;H. M. FERRARI NURRACHADIAN;Laki-Laki;KOTA BANDUNG
1472;bekasi;PERINDO;SAHRONI SURYANA, SH;Laki-Laki;BEKASI
1473;bener-meriah;PA;ISMUDDIN;Laki-Laki;ACEH TENGAH
1474;bener-meriah;PA;HUSNI JALIL;Laki-Laki;BENER MERIAH
1475;bener-meriah;PA;ZUHRA;Perempuan;KOTA BANDA ACEH
1476;bener-meriah;PA;TGK. MUHAMMAD AMIN;Laki-Laki;BENER MERIAH
1477;bener-meriah;PA;MUSTAWA AGUSTINA;Perempuan;BENER MERIAH
1478;bener-meriah;PA;ERWINSYAH, SE, Ak;Laki-Laki;ACEH TENGAH
1483;bener-meriah;PAN;FADLI ULFA;Laki-Laki;ACEH TENGAH
1492;bener-meriah;PDIP;FARIZ REZA FIRMANDEZ, SST.Par;Laki-Laki;JAKARTA SELATAN
1493;bener-meriah;PDIP;YUNIA SHOFIASTI, ST., MT;Perempuan;KOTA BANDA ACEH
1494;bener-meriah;PDIP;SARIM MUNAWAR;Laki-Laki;ACEH TENGAH
1495;bener-meriah;PDIP;KHAIRUDDIN;Laki-Laki;ACEH TENGAH
1496;bener-meriah;PDIP;MUHAMMAD RIDWAN;Laki-Laki;ACEH TENGAH
1497;bener-meriah;PDIP;NURSYAMSINAR;Perempuan;ACEH TENGAH
1514;bener-meriah;GOLKAR;DJULIATI;Perempuan;BENER MERIAH
1519;bener-meriah;HANURA;Drs. SALIMIN SULAIMAN;Laki-Laki;KOTA BANDA ACEH
1520;bener-meriah;HANURA;NURDIN ALI, ST;Laki-Laki;ACEH TENGAH
1521;bener-meriah;HANURA;DEKALIA YULISTIANI;Perempuan;BENER MERIAH
1522;bener-meriah;HANURA;URIES SAMADIN;Laki-Laki;ACEH TENGAH
1523;bener-meriah;HANURA;NURMALA WATI;Perempuan;BENER MERIAH
1524;bener-meriah;HANURA;RAMDANA;Laki-Laki;BENER MERIAH
