dapil,partai,agama
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-3,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-4,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-8,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-8,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-6,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
asahan,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-1,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-5,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-6,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-12,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-5,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-5,PARTAI BERKARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-3,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-4,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-8,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Kristen Protestan
bogor,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
indramayu,PERSATUAN INDONESIA,Islam
kota-bekasi,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
kota-bekasi,PARTAI BERKARYA,Katolik
kota-depok,PARTAI BERKARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-7,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-2,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-7,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-2,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-3,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-1,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-3,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-14,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-5,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-8,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-8,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-1,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-4,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-6,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-7,PARTAI AMANAT NASIONAL,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-6,PARTAI DEMOKRAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-2,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-5,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-5,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-6,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-4,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-6,PARTAI BERKARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-6,PARTAI NASDEM,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-8,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
bekasi,PARTAI SOLIDARITAS INDONESIA,-
kota-lhokseumawe,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-9,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-9,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-2,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-4,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-3,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-11,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
kupang,PARTAI KEADILAN SEJAHTERA,Kristen Protestan
manggarai-timur,PARTAI BERKARYA,Kristen Protestan
ngada,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
ngada,PARTAI PERSATUAN PEMBANGUNAN,Islam
rote-ndao,PARTAI GERAKAN INDONESIA RAYA,Lainnya
sumedang,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-2,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-9,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-3,PARTAI BERKARYA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-2,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-4,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-6,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-3,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-5,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-5,PARTAI HATI NURANI RAKYAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-1,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-1,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-4,PARTAI HATI NURANI RAKYAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-7,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-1,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-1,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-5,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-4,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-6,PARTAI HATI NURANI RAKYAT,Katolik
ende,PARTAI HATI NURANI RAKYAT,-
kota-sabang,PARTAI NANGGROE ACEH,-
pidie-jaya,PARTAI SIRA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-3,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-8,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-2,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-7,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-5,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-1,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-7,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-11,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-6,PARTAI PERSATUAN PEMBANGUNAN,-
asahan,PARTAI SOLIDARITAS INDONESIA,Katolik
bogor,PERSATUAN INDONESIA,Islam
ende,PARTAI GOLONGAN KARYA,Kristen Protestan
manggarai-barat,PERSATUAN INDONESIA,Kristen Protestan
sumba-barat-daya,PARTAI HATI NURANI RAKYAT,Kristen Protestan
sumba-barat-daya,PERSATUAN INDONESIA,Islam
sumedang,PARTAI BULAN BINTANG,Islam
sumedang,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-7,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-10,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-5,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-3,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-3,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-12,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-1,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-7,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-4,PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-1,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-4,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-3,PARTAI KEADILAN SEJAHTERA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-6,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-1,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-4,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-9,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-1,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-13,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-4,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-7,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-2,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-5,PARTAI GERAKAN INDONESIA RAYA,-
bekasi,PARTAI BERKARYA,Islam
bener-meriah,PARTAI BERKARYA,Islam
bireuen,PERSATUAN INDONESIA,Islam
kota-kupang,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
pidie-jaya,PARTAI PERSATUAN PEMBANGUNAN,Islam
purwakarta,PARTAI SOLIDARITAS INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-5,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-4,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-9,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-9,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Lainnya
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-4,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-8,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-4,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-6,PARTAI KEBANGKITAN BANGSA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-4,PARTAI NASDEM,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-5,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-1,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-3,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-6,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-5,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-6,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-7,PARTAI HATI NURANI RAKYAT,Islam
aceh-tengah,PARTAI KEADILAN SEJAHTERA,-
bandung-barat,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
indramayu,PARTAI AMANAT NASIONAL,-
kota-bogor,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-2,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-2,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-6,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-4,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-6,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-7,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-2,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-5,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-4,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-7,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
asahan,PARTAI GOLONGAN KARYA,Kristen Protestan
kota-bekasi,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
kota-kupang,PARTAI KEADILAN SEJAHTERA,Islam
kota-kupang,PARTAI PERSATUAN PEMBANGUNAN,Katolik
ngada,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
serdang-bedagai,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-1,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-9,PARTAI SIRA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-5,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-4,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-9,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-14,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-1,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-12,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-14,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-7,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-4,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-1,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-6,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-3,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-2,PARTAI HATI NURANI RAKYAT,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-2,PARTAI DEMOKRAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-2,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-1,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-2,PARTAI AMANAT NASIONAL,Kristen Protestan
aceh-tengah,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-3,PARTAI ACEH,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-4,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-4,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-7,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-6,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-4,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-2,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-7,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-3,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-5,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-2,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-5,PARTAI GERAKAN PERUBAHAN INDONESIA,-
bekasi,PARTAI KEADILAN SEJAHTERA,Islam
bener-meriah,PARTAI BULAN BINTANG,Islam
ende,PARTAI AMANAT NASIONAL,Katolik
karawang,PARTAI KEBANGKITAN BANGSA,Islam
karawang,PARTAI GERAKAN INDONESIA RAYA,Islam
kota-tebing-tinggi,PARTAI DEMOKRAT,Islam
kupang,PERSATUAN INDONESIA,Kristen Protestan
manggarai,PARTAI KEBANGKITAN BANGSA,Katolik
rote-ndao,PARTAI AMANAT NASIONAL,Kristen Protestan
rote-ndao,PERSATUAN INDONESIA,Kristen Protestan
serdang-bedagai,PERSATUAN INDONESIA,Islam
sikka,PERSATUAN INDONESIA,Kristen Protestan
sumba-barat-daya,PARTAI NASDEM,Katolik
sumba-barat-daya,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-3,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-3,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-5,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-5,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-9,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-1,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-6,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-5,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-5,PARTAI HATI NURANI RAKYAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-12,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-14,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-4,PARTAI SOLIDARITAS INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-4,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-7,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-3,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-3,PARTAI KEADILAN SEJAHTERA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-1,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-1,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-3,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-4,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-2,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-7,PARTAI GERAKAN INDONESIA RAYA,Islam
karawang,PARTAI DEMOKRAT,-
kota-banda-aceh,PARTAI GERAKAN PERUBAHAN INDONESIA,-
kota-bekasi,PARTAI AMANAT NASIONAL,-
majalengka,PARTAI GERAKAN PERUBAHAN INDONESIA,-
manggarai-timur,PARTAI GERAKAN INDONESIA RAYA,-
wajo,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-6,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-2,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-10,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-11,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-5,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-2,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-7,PARTAI SOLIDARITAS INDONESIA,-
kota-banda-aceh,PARTAI DAERAH ACEH,Islam
